
MJ110830B_megahit_metabat_bin-312,bin-312:44/59_149,PCC porin
MJ110830B_megahit_metabat_bin-312,bin-312:44/59_148,Outer Surface MHC in PCC
MJ110830B_megahit_metabat_bin-312,bin-312:44/59_150,Outer Surface MHC in PCC
MJ110830B_megahit_metabat_bin-312,bin-312:44/59_151,Outer Surface MHC in PCC
MJ110830B_megahit_metabat_bin-312,bin-312:13/59_40,Outer Surface MHC
MJ110830B_megahit_metabat_bin-312,bin-312:19/59_77,Outer Surface MHC
MJ110830B_megahit_metabat_bin-312,bin-312:26/59_14,Outer Surface MHC
MJ110830B_megahit_metabat_bin-407,bin-407:004/870_4,Periplasmic MHC in PCC
MJ110830B_megahit_metabat_bin-407,bin-407:094/870_2,Periplasmic MHC in PCC
MJ110830B_megahit_metabat_bin-407,bin-407:004/870_8,Outer Surface MHC
MJ110830B_megahit_metabat_bin-407,bin-407:094/870_1,Outer Surface MHC
MJ110830B_megahit_metabat_bin-407,bin-407:202/870_2,Outer Surface MHC
MJ110830B_megahit_metabat_bin-407,bin-407:576/870_3,Outer Surface MHC
MJ110830B_megahit_metabat_bin-123,bin-123:036/819_9,Periplasmic MHC in PCC
MJ110830B_megahit_metabat_bin-123,bin-123:036/819_8,Outer Surface MHC
MJ110830B_megahit_metabat_bin-123,bin-123:295/819_3,Outer Surface MHC
MJ110830B_megahit_metabat_bin-123,bin-123:499/819_2,Outer Surface MHC
MJ110830B_megahit_metabat_bin-123,bin-123:619/819_1,Outer Surface MHC
MJ110830B_megahit_metabat_bin-123,bin-123:635/819_2,Outer Surface MHC
MJ110830B_megahit_metabat_bin-123,bin-123:662/819_2,Outer Surface MHC
MJ110830B_megahit_metabat_bin-120,bin-120:13/18_393,Periplasmic MHC in PCC
MJ110830B_megahit_metabat_bin-120,bin-120:13/18_394,Periplasmic MHC in PCC
MJ110830B_megahit_metabat_bin-120,bin-120:06/18_203,Outer Surface MHC
MJ110830B_megahit_metabat_bin-120,bin-120:13/18_233,Outer Surface MHC
MJ110830B_megahit_metabat_bin-120,bin-120:13/18_388,Outer Surface MHC
MJ110830B_megahit_metabat_bin-120,bin-120:13/18_400,Outer Surface MHC
MJ110830B_megahit_metabat_bin-703,bin-703:141/380_17,Periplasmic MHC in PCC
MJ110830B_megahit_metabat_bin-703,bin-703:012/380_32,Outer Surface MHC
MJ110830B_megahit_metabat_bin-703,bin-703:141/380_18,Outer Surface MHC
